"uri","date","title","uin"
"http://data.parliament.uk/resources/750435","2017-07-11","Air Travel Organisers' Licensing Bill: Committee of the whole House New Clause 1","CD:2017-07-11:274"
"http://data.parliament.uk/resources/746517","2017-06-29","Queen's Speech: Economy and Jobs Amdt (l)","CD:2017-06-29:269"
"http://data.parliament.uk/resources/746518","2017-06-29","Queen's Speech: Economy and Jobs Amdt (g)","CD:2017-06-29:270"
"http://data.parliament.uk/resources/746519","2017-06-29","Queen's Speech: Main Question","CD:2017-06-29:271"
"http://data.parliament.uk/resources/746031","2017-06-28","Queen's Speech: Health, Social Care and Security Amendment (i)","CD:2017-06-28:268"
"http://data.parliament.uk/resources/722300","2017-04-19","Early Parliamentary General Election","CD:2017-04-19:264"
"http://data.parliament.uk/resources/722302","2017-04-19","Technical and Further Education Bill: Lords Amendment 1 Motion to disagree","CD:2017-04-19:265"
"http://data.parliament.uk/resources/722304","2017-04-19","Section 5 of the European Communities (Amendment) Act 1993","CD:2017-04-19:266"
"http://data.parliament.uk/resources/721963","2017-04-18","Finance (No.2) Bill: Second Reading: reasoned amendment","CD:2017-04-18:262"
"http://data.parliament.uk/resources/721964","2017-04-18","Finance (No.2) Bill: Second Reading","CD:2017-04-18:263"
"http://data.parliament.uk/resources/714865","2017-03-29","Pension Schemes Bill [Lords]: Report Stage New Clause 2","CD:2017-03-29:260"
"http://data.parliament.uk/resources/714866","2017-03-29","Pension Schemes Bill [Lords]: Report Stage New Clause 1","CD:2017-03-29:259"
"http://data.parliament.uk/resources/714868","2017-03-29","Pension Schemes Bill [Lords]: Report Stage Amendment 1","CD:2017-03-29:261"
"http://data.parliament.uk/resources/713962","2017-03-27","Bus Services Bill [Lords]: Report Stage New Clause 1","CD:2017-03-27:255"
"http://data.parliament.uk/resources/713963","2017-03-27","Bus Services Bill [Lords]: Report Stage New Clause 2","CD:2017-03-27:256"
"http://data.parliament.uk/resources/714005","2017-03-27","Bus Services Bill [Lords]: Report Stage Amendment 1","CD:2017-03-27:257"
